BANK_INVESTMENT,TERM,INTEREST_RATE,EMPLOYEMENT_DURATION,ANNUAL_INCOME,STATUS,LOAN_PURPOSE,STATE,DTI,INITIAL_LIST_STATUS,RECEIVED_INTEREST_TOTAL,RECEIVED_LATE_FEE,APPLICATION_TYPE,TOTAL_COLLECTION_AMOUNT,TOTAL_CURRENT_BALANCE,LOAN_STATUS
10000.0,60,18.55,3,27000.0,Verified,debt_consolidation,KS,14.13,w,448.67,0.0,INDIVIDUAL,0.0,10707.0,0.0
33150.0,60,20.49,10,70000.0,Verified,credit_card,PA,32.61,f,4851.01,0.0,INDIVIDUAL,0.0,141797.0,0.0
5500.0,36,12.29,10,25000.0,Source Verified,debt_consolidation,MO,11.91,f,455.2,0.0,INDIVIDUAL,0.0,53454.0,0.0
28000.0,36,8.19,0,84000.0,Source Verified,debt_consolidation,TX,12.73,f,1956.66,0.0,INDIVIDUAL,0.0,229995.0,0.0
12600.0,36,16.49,10,35000.0,Source Verified,debt_consolidation,TX,22.38,f,1795.45,0.0,INDIVIDUAL,0.0,13054.0,0.0
10000.0,36,8.39,2,98000.0,Not Verified,debt_consolidation,CA,3.09,f,412.4,0.0,INDIVIDUAL,0.0,42542.0,1.0
17900.0,36,18.75,3,114500.0,Verified,debt_consolidation,NJ,23.11,f,1830.04,0.0,INDIVIDUAL,0.0,624417.0,1.0
4850.0,36,16.99,10,53000.0,Source Verified,debt_consolidation,NY,26.49,f,444.36,0.0,INDIVIDUAL,0.0,38829.0,0.0
10725.0,36,12.29,9,28200.0,Not Verified,debt_consolidation,PA,38.43,w,277.95,0.0,INDIVIDUAL,0.0,28163.0,0.0
19725.0,36,13.67,4,168000.0,Verified,debt_consolidation,NY,22.32,f,4255.21,68.04,INDIVIDUAL,,,0.0
10000.0,36,10.99,7,125000.0,Not Verified,credit_card,CA,18.05,f,1336.13,0.0,INDIVIDUAL,0.0,421664.0,1.0
6400.0,36,12.69,0,42000.0,Source Verified,debt_consolidation,IN,37.21,f,466.13,0.0,INDIVIDUAL,0.0,71646.0,1.0
4950.0,60,16.29,2,24000.0,Verified,home_improvement,CT,16.82,f,1388.24,0.0,INDIVIDUAL,0.0,8312.0,0.0
12000.0,36,6.03,10,128000.0,Verified,debt_consolidation,PA,10.85,w,806.36,0.0,INDIVIDUAL,0.0,311014.0,1.0
20000.0,36,12.69,10,160000.0,Verified,home_improvement,NH,4.1,f,1538.96,0.0,INDIVIDUAL,805.0,234697.0,0.0
7275.0,36,7.26,10,130000.0,Not Verified,credit_card,MI,16.63,w,203.15,0.0,INDIVIDUAL,0.0,290962.0,0.0
20200.0,36,9.17,10,59000.0,Not Verified,debt_consolidation,OH,21.84,w,366.73,0.0,INDIVIDUAL,0.0,195008.0,0.0
16750.0,60,24.08,0,86000.0,Source Verified,debt_consolidation,CA,6.57,f,6634.89,0.0,INDIVIDUAL,0.0,13166.0,0.0
34925.0,60,15.61,10,78500.0,Verified,debt_consolidation,NJ,11.48,f,2194.09,0.0,INDIVIDUAL,0.0,34752.0,0.0
6000.0,36,13.33,3,70000.0,Source Verified,debt_consolidation,AZ,9.02,f,309.03,0.0,INDIVIDUAL,0.0,359326.0,0.0
10700.0,60,14.31,6,32100.0,Not Verified,debt_consolidation,NM,27.29,w,1637.68,0.0,INDIVIDUAL,0.0,137019.0,0.0
25000.0,60,7.89,2,95000.0,Not Verified,debt_consolidation,GA,12.98,w,464.46,0.0,INDIVIDUAL,0.0,235231.0,0.0
12800.0,36,12.99,10,150000.0,Verified,other,MI,12.63,f,2477.45,0.0,INDIVIDUAL,0.0,161107.0,0.0
28000.0,36,8.67,2,125000.0,Source Verified,debt_consolidation,UT,30.44,w,752.44,0.0,INDIVIDUAL,0.0,316510.0,0.0
16950.0,36,9.99,0,110000.0,Not Verified,debt_consolidation,NJ,13.6,f,573.96,0.0,INDIVIDUAL,5005.0,22198.0,0.0
15000.0,36,11.14,4,60000.0,Verified,debt_consolidation,FL,20.08,f,1346.4,0.0,INDIVIDUAL,0.0,272177.0,1.0
20000.0,60,13.99,1,65000.0,Source Verified,major_purchase,MI,11.71,w,1772.23,0.0,INDIVIDUAL,0.0,124248.0,0.0
24000.0,60,17.76,9,128000.0,Verified,debt_consolidation,CA,16.33,f,1397.91,0.0,INDIVIDUAL,0.0,442155.0,1.0
15975.0,36,6.03,4,75000.0,Verified,small_business,TX,4.83,f,1438.43,0.0,INDIVIDUAL,,,1.0
34975.0,36,19.72,10,140000.0,Verified,small_business,PA,30.35,f,11640.25,0.0,INDIVIDUAL,,,1.0
30000.0,60,17.57,10,99500.0,Verified,debt_consolidation,OK,27.9,w,6012.87,0.0,INDIVIDUAL,0.0,447154.0,0.0
19200.0,60,17.86,2,65000.0,Verified,debt_consolidation,NV,16.36,w,3378.59,0.0,INDIVIDUAL,170.0,46867.0,1.0
5375.0,36,15.61,3,25000.0,Verified,credit_card,NC,33.57,w,1262.92,0.0,INDIVIDUAL,53.0,28862.0,0.0
25250.0,36,14.64,0,72000.0,Source Verified,debt_consolidation,MN,12.8,w,4496.77,0.0,INDIVIDUAL,0.0,250586.0,1.0
7200.0,36,14.48,2,39750.0,Source Verified,debt_consolidation,KY,19.66,w,81.09,0.0,INDIVIDUAL,0.0,58396.0,0.0
18000.0,60,14.65,9,90000.0,Source Verified,debt_consolidation,PA,14.8,w,1855.66,0.0,INDIVIDUAL,0.0,223151.0,0.0
1000.0,36,12.12,8,40000.0,Verified,vacation,OH,31.77,f,197.41,0.0,INDIVIDUAL,,,1.0
14450.0,36,17.86,3,40000.0,Not Verified,credit_card,TX,24.96,f,2089.08,0.0,INDIVIDUAL,0.0,103681.0,0.0
18225.0,36,16.55,3,48000.0,Not Verified,home_improvement,NC,6.98,f,1625.84,0.0,INDIVIDUAL,0.0,123905.0,0.0
20000.0,36,13.18,8,84000.0,Not Verified,debt_consolidation,TN,25.81,w,0.0,0.0,INDIVIDUAL,0.0,405177.0,0.0
12000.0,36,10.99,2,55000.0,Verified,credit_card,GA,27.3,f,390.28,0.0,INDIVIDUAL,0.0,77893.0,0.0
25000.0,60,23.83,7,65000.0,Source Verified,credit_card,CA,12.42,f,11647.23,0.0,INDIVIDUAL,0.0,22459.0,1.0
5000.0,36,12.69,10,77000.0,Verified,credit_card,VT,14.5,w,295.25,0.0,INDIVIDUAL,0.0,174517.0,0.0
17000.0,36,6.03,7,88300.0,Verified,debt_consolidation,FL,11.05,f,1428.27,0.0,INDIVIDUAL,0.0,244772.0,0.0
28000.0,36,12.99,1,62400.0,Verified,credit_card,MA,12.58,w,3763.35,0.0,INDIVIDUAL,0.0,23784.0,0.0
20000.0,36,14.65,10,90000.0,Source Verified,debt_consolidation,NY,11.2,f,1133.19,0.0,INDIVIDUAL,0.0,28233.0,0.0
20000.0,36,11.67,-1,103320.0,Source Verified,home_improvement,NY,15.17,w,2658.26,0.0,INDIVIDUAL,0.0,27435.0,0.0
12500.0,60,17.86,10,75000.0,Verified,debt_consolidation,DE,12.14,w,1235.69,0.0,INDIVIDUAL,0.0,275755.0,0.0
4200.0,36,18.84,8,43000.0,Not Verified,other,LA,24.37,f,478.95,0.0,INDIVIDUAL,405.0,142744.0,0.0
16100.0,60,19.99,5,35000.0,Source Verified,debt_consolidation,CA,30.86,f,1775.76,0.0,INDIVIDUAL,0.0,37237.0,0.0
15450.0,36,13.33,6,33600.0,Verified,credit_card,CA,38.9,f,1106.41,0.0,INDIVIDUAL,0.0,15017.0,0.0
20000.0,60,14.33,1,87600.0,Source Verified,home_improvement,CA,18.08,f,7040.79,0.0,INDIVIDUAL,0.0,408391.0,0.0
23625.0,60,18.2,10,70000.0,Verified,debt_consolidation,KS,31.8,f,687.84,0.0,INDIVIDUAL,0.0,106591.0,0.0
17000.0,60,23.4,10,54000.0,Source Verified,debt_consolidation,NY,18.89,f,6163.79,24.16,INDIVIDUAL,0.0,35398.0,1.0
1500.0,36,14.64,2,40000.0,Source Verified,debt_consolidation,WA,15.54,w,0.0,0.0,INDIVIDUAL,0.0,24895.0,0.0
7950.0,36,10.38,2,50004.0,Verified,other,MA,23.88,f,330.23,29.9505747557,INDIVIDUAL,,,0.0
25000.0,60,9.99,10,60000.0,Not Verified,credit_card,NC,29.91,w,602.41,0.0,INDIVIDUAL,0.0,68650.0,0.0
12000.0,36,10.99,10,52000.0,Not Verified,home_improvement,MA,12.83,w,972.18,0.0,INDIVIDUAL,6738.0,239603.0,0.0
17500.0,36,15.99,4,88000.0,Not Verified,debt_consolidation,VA,11.56,f,2242.53,0.0,INDIVIDUAL,0.0,605585.0,0.0
11000.0,36,7.89,2,33000.0,Source Verified,credit_card,VA,11.45,w,302.65,0.0,INDIVIDUAL,0.0,139788.0,0.0
35000.0,36,14.99,4,100000.0,Verified,home_improvement,AZ,10.29,f,4521.11,0.0,INDIVIDUAL,0.0,41237.0,0.0
25000.0,60,13.35,-1,56000.0,Verified,credit_card,PA,28.44,w,4685.77,0.0,INDIVIDUAL,0.0,186934.0,0.0
6000.0,36,12.29,10,75000.0,Not Verified,debt_consolidation,MN,16.7,w,338.91,0.0,INDIVIDUAL,0.0,78372.0,0.0
13200.0,60,19.99,0,26400.0,Source Verified,debt_consolidation,IL,28.18,w,1398.06,0.0,INDIVIDUAL,0.0,43807.0,0.0
20000.0,36,15.61,10,70000.0,Verified,car,NY,29.64,f,2517.73,0.0,INDIVIDUAL,0.0,35449.0,0.0
15000.0,60,7.9,10,67000.0,Source Verified,debt_consolidation,FL,9.9,f,1411.94,0.0,INDIVIDUAL,0.0,245928.0,1.0
5950.0,36,18.25,3,30000.0,Source Verified,debt_consolidation,CA,15.48,f,1458.53,0.0,INDIVIDUAL,0.0,9943.0,0.0
16000.0,36,7.9,1,55000.0,Not Verified,home_improvement,TX,15.61,w,1990.64,0.0,INDIVIDUAL,0.0,158699.0,0.0
15000.0,60,12.39,10,80000.0,Not Verified,debt_consolidation,AZ,13.49,w,1576.49,0.0,INDIVIDUAL,0.0,254138.0,0.0
35000.0,36,7.89,5,180000.0,Source Verified,debt_consolidation,NC,21.95,w,0.0,0.0,INDIVIDUAL,0.0,261143.0,0.0
18000.0,60,8.19,8,70000.0,Verified,debt_consolidation,CA,19.58,w,1556.1,0.0,INDIVIDUAL,0.0,46625.0,0.0
28200.0,60,24.99,3,108000.0,Source Verified,other,NM,16.78,f,25.46,0.0,INDIVIDUAL,69.0,220405.0,1.0
7000.0,36,10.99,5,70000.0,Verified,moving,NY,16.56,w,238.76,0.0,INDIVIDUAL,0.0,12172.0,0.0
13000.0,36,10.99,10,80000.0,Verified,debt_consolidation,CA,26.62,f,443.42,0.0,INDIVIDUAL,0.0,61294.0,0.0
23000.0,36,10.99,10,50000.0,Source Verified,debt_consolidation,FL,20.95,w,1055.94,0.0,INDIVIDUAL,0.0,31225.0,0.0
4950.0,36,18.49,8,178000.0,Source Verified,small_business,TX,7.54,w,66.1,0.0,INDIVIDUAL,0.0,38746.0,0.0
7200.0,36,15.61,2,60000.0,Verified,debt_consolidation,AR,21.62,f,605.25,0.0,INDIVIDUAL,0.0,40749.0,0.0
17000.0,60,14.99,0,58000.0,Not Verified,debt_consolidation,UT,21.06,w,3262.65,0.0,INDIVIDUAL,0.0,301791.0,0.0
20000.0,60,19.19,10,75000.0,Source Verified,credit_card,KY,19.12,w,1848.41,0.0,INDIVIDUAL,0.0,263725.0,0.0
5050.0,36,12.69,1,190000.0,Source Verified,other,IL,22.3,f,202.64,0.0,INDIVIDUAL,0.0,357941.0,0.0
35000.0,60,22.99,10,87040.0,Verified,debt_consolidation,TX,16.13,f,5717.54,0.0,INDIVIDUAL,574.0,212529.0,0.0
15000.0,60,15.99,4,85000.0,Source Verified,other,MA,10.38,w,2391.76,0.0,INDIVIDUAL,0.0,32825.0,0.0
10225.0,36,10.16,1,31200.0,Not Verified,debt_consolidation,TN,10.0,f,1621.36,0.0,INDIVIDUAL,0.0,111460.0,0.0
17950.0,36,9.99,3,39000.0,Verified,debt_consolidation,MN,9.32,f,693.1,0.0,INDIVIDUAL,192.0,10163.0,0.0
28000.0,36,5.32,8,72000.0,Source Verified,credit_card,TX,16.1,w,292.48,0.0,INDIVIDUAL,0.0,381787.0,0.0
5700.0,60,19.42,3,50000.0,Verified,debt_consolidation,NY,8.9,f,2576.6,0.0,INDIVIDUAL,,,1.0
13000.0,36,6.62,2,130000.0,Not Verified,debt_consolidation,VA,23.37,f,1113.13,0.0,INDIVIDUAL,0.0,618061.0,0.0
24000.0,60,13.33,-1,61000.0,Verified,debt_consolidation,KY,34.51,w,2735.7,0.0,INDIVIDUAL,0.0,58182.0,0.0
7200.0,36,11.99,0,35000.0,Source Verified,debt_consolidation,OH,17.22,f,844.12,0.0,INDIVIDUAL,0.0,23744.0,0.0
19850.0,36,13.11,10,50000.0,Verified,debt_consolidation,AR,19.63,f,4284.67,0.0,INDIVIDUAL,168.0,105315.0,0.0
5000.0,36,9.99,10,70000.0,Source Verified,debt_consolidation,NY,20.58,w,154.94,0.0,INDIVIDUAL,0.0,31458.0,0.0
16850.0,36,10.99,10,44200.0,Not Verified,debt_consolidation,FL,20.93,w,992.36,0.0,INDIVIDUAL,0.0,14203.0,0.0
9750.0,36,13.11,10,72000.0,Source Verified,debt_consolidation,NY,5.17,f,2150.42,0.0,INDIVIDUAL,,,1.0
13000.0,60,12.39,1,42000.0,Source Verified,credit_card,VA,10.49,w,1490.62,0.0,INDIVIDUAL,221.0,8328.0,0.0
7000.0,36,7.89,3,75735.12,Source Verified,debt_consolidation,WA,17.7,w,405.09,0.0,INDIVIDUAL,0.0,24353.0,0.0
18000.0,60,9.17,10,113000.0,Not Verified,debt_consolidation,NY,15.89,w,660.28,0.0,INDIVIDUAL,105.0,697738.0,0.0
25000.0,60,20.99,1,130000.0,Source Verified,debt_consolidation,MA,7.43,w,1890.72,0.0,INDIVIDUAL,0.0,31254.0,1.0
10000.0,36,13.11,2,90000.0,Source Verified,credit_card,WA,12.49,w,1735.64,0.0,INDIVIDUAL,0.0,324254.0,0.0
21600.0,36,11.44,8,95000.0,Verified,debt_consolidation,NC,25.24,w,1695.09,0.0,INDIVIDUAL,0.0,253332.0,1.0
30000.0,60,12.69,10,140000.0,Not Verified,debt_consolidation,TX,15.83,w,2695.7,0.0,INDIVIDUAL,0.0,66287.0,0.0
26125.0,60,13.98,0,57000.0,Source Verified,debt_consolidation,AR,23.85,w,4672.26,0.0,INDIVIDUAL,0.0,34248.0,0.0
7000.0,36,7.89,3,42640.0,Not Verified,debt_consolidation,CO,18.54,w,329.79,0.0,INDIVIDUAL,0.0,15736.0,0.0
8000.0,36,17.57,10,33072.0,Verified,debt_consolidation,WV,32.47,f,1477.71,0.0,INDIVIDUAL,518.0,32296.0,0.0
20000.0,36,11.14,3,65000.0,Verified,debt_consolidation,NY,11.58,w,3530.18,0.0,INDIVIDUAL,0.0,31773.0,0.0
16000.0,36,12.29,9,97000.0,Not Verified,debt_consolidation,NJ,9.08,f,1441.65,0.0,INDIVIDUAL,0.0,491917.0,0.0
8000.0,36,16.78,0,68750.0,Not Verified,credit_card,OH,22.97,f,1898.48,0.0,INDIVIDUAL,0.0,127882.0,1.0
2750.0,36,16.99,5,56000.0,Verified,medical,NY,21.62,f,113.72,0.0,INDIVIDUAL,0.0,27519.0,0.0
11625.0,36,16.55,10,58000.0,Verified,other,MI,20.46,f,1303.27,0.0,INDIVIDUAL,0.0,128115.0,0.0
12950.0,36,17.57,10,166000.0,Verified,home_improvement,KY,16.27,w,1400.44,0.0,INDIVIDUAL,0.0,336159.0,0.0
23950.0,60,18.25,10,110000.0,Source Verified,debt_consolidation,AZ,11.96,f,6796.16,0.0,INDIVIDUAL,0.0,303569.0,0.0
19675.0,60,9.17,10,74000.0,Not Verified,credit_card,NC,22.2,w,851.98,0.0,INDIVIDUAL,0.0,137534.0,0.0
35000.0,36,14.31,-1,104000.0,Verified,debt_consolidation,NY,17.13,w,4635.84,0.0,INDIVIDUAL,0.0,132687.0,0.0
17045.5613566,36,18.78,3,80000.0,Not Verified,wedding,VA,15.6,f,5769.41,0.0,INDIVIDUAL,,,1.0
5275.0,36,10.99,4,36000.0,Not Verified,credit_card,CA,18.53,w,712.63,0.0,INDIVIDUAL,0.0,57534.0,0.0
15000.0,36,13.49,4,75000.0,Verified,debt_consolidation,CA,8.75,f,2886.33,0.0,INDIVIDUAL,,,1.0
8000.0,36,18.85,1,30000.0,Verified,moving,AZ,22.4,w,2357.44,0.0,INDIVIDUAL,0.0,29284.0,1.0
35000.0,60,21.99,10,90000.0,Verified,credit_card,HI,17.14,f,10013.94,0.0,INDIVIDUAL,0.0,49328.0,0.0
15000.0,36,15.61,10,78402.16,Verified,debt_consolidation,CA,24.6,f,938.72,0.0,INDIVIDUAL,141.0,43998.0,0.0
12000.0,36,8.18,10,45000.0,Not Verified,debt_consolidation,OH,20.59,f,591.82,0.0,INDIVIDUAL,0.0,18955.0,0.0
7000.0,36,6.03,-1,33000.0,Verified,debt_consolidation,MA,6.55,f,120.19,0.0,INDIVIDUAL,0.0,4161.0,1.0
19200.0,36,10.64,4,50000.0,Verified,debt_consolidation,OH,24.84,f,2633.47,0.0,INDIVIDUAL,0.0,44318.0,1.0
9725.0,36,12.99,2,30000.0,Not Verified,debt_consolidation,MD,20.2,f,1887.02,0.0,INDIVIDUAL,0.0,9687.0,0.0
12000.0,60,14.49,10,57000.0,Verified,debt_consolidation,TX,26.59,w,2337.28,0.0,INDIVIDUAL,0.0,217361.0,1.0
20000.0,60,13.33,10,125000.0,Verified,debt_consolidation,FL,19.77,w,628.98,0.0,INDIVIDUAL,0.0,51448.0,0.0
30000.0,36,10.15,5,150000.0,Source Verified,debt_consolidation,TX,7.71,f,3129.17,0.0,INDIVIDUAL,5674.0,15567.0,0.0
11950.0,60,21.67,2,29900.0,Verified,debt_consolidation,WI,15.42,f,1936.71,0.0,INDIVIDUAL,0.0,11346.0,0.0
10000.0,36,6.03,0,45000.0,Verified,credit_card,AR,3.61,w,507.53,0.0,INDIVIDUAL,0.0,76398.0,0.0
12000.0,36,18.49,10,106000.0,Source Verified,debt_consolidation,MI,20.51,f,1945.46,0.0,INDIVIDUAL,0.0,41374.0,1.0
5300.0,36,12.69,2,34000.0,Verified,debt_consolidation,TN,10.66,f,263.49,0.0,INDIVIDUAL,0.0,11900.0,0.0
5000.0,36,6.89,4,44236.0,Not Verified,car,AZ,21.32,w,183.78,0.0,INDIVIDUAL,0.0,57897.0,0.0
28000.0,60,9.17,2,85000.0,Source Verified,home_improvement,CA,4.31,f,1226.74,0.0,INDIVIDUAL,0.0,146182.0,0.0
22000.0,60,16.55,0,55000.0,Source Verified,debt_consolidation,FL,17.32,w,2588.45,0.0,INDIVIDUAL,0.0,25315.0,0.0
13475.0,36,16.99,4,60000.0,Not Verified,debt_consolidation,MI,25.54,f,550.32,0.0,INDIVIDUAL,0.0,42886.0,0.0
10000.0,36,11.53,2,58000.0,Source Verified,debt_consolidation,CA,11.65,w,177.11,0.0,INDIVIDUAL,128.0,12743.0,0.0
16000.0,36,5.32,1,50000.0,Source Verified,credit_card,IN,18.71,w,66.2,0.0,INDIVIDUAL,0.0,26807.0,0.0
12000.0,60,12.49,5,73600.0,Source Verified,debt_consolidation,NY,8.94,w,1663.15,0.0,INDIVIDUAL,0.0,41719.0,0.0
30000.0,60,9.49,4,120000.0,Verified,debt_consolidation,MA,14.94,w,2859.78,0.0,INDIVIDUAL,0.0,214384.0,0.0
7950.0,36,10.64,3,42000.0,Not Verified,debt_consolidation,FL,25.3,f,1331.37,0.0,INDIVIDUAL,0.0,161474.0,0.0
14500.0,36,11.67,9,90000.0,Source Verified,debt_consolidation,TX,34.15,f,1754.73,0.0,INDIVIDUAL,0.0,41019.0,0.0
25150.0,36,9.76,5,130000.0,Verified,debt_consolidation,TX,32.74,w,177.28,0.0,INDIVIDUAL,0.0,108745.0,0.0
7200.0,36,20.31,-1,62268.0,Verified,wedding,NJ,30.87,f,2318.77,0.0,INDIVIDUAL,0.0,403512.0,0.0
21200.0,36,16.29,10,60000.0,Verified,debt_consolidation,CA,24.8,f,5591.7,0.0,INDIVIDUAL,0.0,98749.0,0.0
10150.0,60,17.57,10,28200.0,Source Verified,debt_consolidation,AL,25.06,w,1403.05,0.0,INDIVIDUAL,0.0,14677.0,0.0
18000.0,60,17.57,10,51650.0,Verified,debt_consolidation,GA,24.51,w,1272.05,0.0,INDIVIDUAL,0.0,25608.0,0.0
22000.0,60,14.33,3,50300.0,Verified,debt_consolidation,PA,14.17,f,6403.15,0.0,INDIVIDUAL,0.0,52348.0,0.0
11950.0,60,16.99,8,43000.0,Not Verified,credit_card,VA,23.61,f,327.86,0.0,INDIVIDUAL,0.0,168733.0,0.0
16000.0,36,7.49,10,130000.0,Not Verified,debt_consolidation,NJ,15.91,w,952.74,0.0,INDIVIDUAL,587.0,795423.0,0.0
16000.0,60,15.61,10,92000.0,Source Verified,debt_consolidation,NC,11.33,f,4712.97,0.0,INDIVIDUAL,0.0,237669.0,0.0
15000.0,60,13.67,3,60000.0,Not Verified,debt_consolidation,MD,17.8,w,351.14,0.0,INDIVIDUAL,0.0,24110.0,0.0
11900.0,36,9.17,10,42000.0,Not Verified,credit_card,CA,23.91,f,1190.74,0.0,INDIVIDUAL,0.0,33335.0,0.0
20000.0,60,14.49,7,140000.0,Source Verified,debt_consolidation,VA,23.96,w,2923.39,23.52,INDIVIDUAL,0.0,381762.0,0.0
35000.0,36,13.33,10,150000.0,Verified,debt_consolidation,FL,2.4,f,362.88,0.0,INDIVIDUAL,0.0,317022.0,1.0
28000.0,36,6.92,10,101000.0,Source Verified,debt_consolidation,FL,8.88,w,1418.89,0.0,INDIVIDUAL,91996.0,74344.0,0.0
5600.0,36,9.17,10,50000.0,Source Verified,credit_card,FL,5.23,w,92.76,0.0,INDIVIDUAL,0.0,6557.0,0.0
6000.0,36,7.49,10,117000.0,Not Verified,home_improvement,CA,11.83,f,284.63,0.0,INDIVIDUAL,170.0,357373.0,1.0
