BANK_INVESTMENT,TERM,INTEREST_RATE,EMPLOYEMENT_DURATION,EMPPLOYMENT_TITLE,ANNUAL_INCOME,STATUS,LOAN_PURPOSE,STATE,DTI,INITIAL_LIST_STATUS,RECEIVED_INTEREST_TOTAL,RECEIVED_LATE_FEE,APPLICATION_TYPE,TOTAL_COLLECTION_AMOUNT,TOTAL_CURRENT_BALANCE,LOAN_STATUS
28000.0,36 months,8.67,2 years,Senior Software Engineer,125000.0,Source Verified,debt_consolidation,UT,30.44,w,752.44,0.0,INDIVIDUAL,0.0,316510.0,0.0
16950.0,36 months,9.99,< 1 year,Sr. Corporate & Securities Paralegal,110000.0,Not Verified,debt_consolidation,NJ,13.6,f,573.96,0.0,INDIVIDUAL,5005.0,22198.0,0.0
15000.0,36 months,11.14,4 years,avisbudget group,60000.0,Verified,debt_consolidation,FL,20.08,f,1346.4,0.0,INDIVIDUAL,0.0,272177.0,1.0
20000.0,60 months,13.99,1 year,owner,65000.0,Source Verified,major_purchase,MI,11.71,w,1772.23,0.0,INDIVIDUAL,0.0,124248.0,0.0
24000.0,60 months,17.76,9 years,Deputy Store Manager,128000.0,Verified,debt_consolidation,CA,16.33,f,1397.91,0.0,INDIVIDUAL,0.0,442155.0,1.0
15975.0,36 months,6.03,4 years,Merrill Lynch,75000.0,Verified,small_business,TX,4.83,f,1438.43,0.0,INDIVIDUAL,,,1.0
34975.0,36 months,19.72,10+ years,,140000.0,Verified,small_business,PA,30.35,f,11640.25,0.0,INDIVIDUAL,,,1.0
30000.0,60 months,17.57,10+ years,Human Resources Director,99500.0,Verified,debt_consolidation,OK,27.9,w,6012.87,0.0,INDIVIDUAL,0.0,447154.0,0.0
19200.0,60 months,17.86,2 years,Bookkeeper,65000.0,Verified,debt_consolidation,NV,16.36,w,3378.59,0.0,INDIVIDUAL,170.0,46867.0,1.0
5375.0,36 months,15.61,3 years,forklift driver,25000.0,Verified,credit_card,NC,33.57,w,1262.92,0.0,INDIVIDUAL,53.0,28862.0,0.0
25250.0,36 months,14.64,< 1 year,Transit Driver,72000.0,Source Verified,debt_consolidation,MN,12.8,w,4496.77,0.0,INDIVIDUAL,0.0,250586.0,1.0
7200.0,36 months,14.48,2 years,Assistant Manager,39750.0,Source Verified,debt_consolidation,KY,19.66,w,81.09,0.0,INDIVIDUAL,0.0,58396.0,0.0
18000.0,60 months,14.65,9 years,Police Officer,90000.0,Source Verified,debt_consolidation,PA,14.8,w,1855.66,0.0,INDIVIDUAL,0.0,223151.0,0.0
1000.0,36 months,12.12,8 years,NFI Industries,40000.0,Verified,vacation,OH,31.77,f,197.41,0.0,INDIVIDUAL,,,1.0
14450.0,36 months,17.86,3 years,INTERCEPTIONIST,40000.0,Not Verified,credit_card,TX,24.96,f,2089.08,0.0,INDIVIDUAL,0.0,103681.0,0.0
18225.0,36 months,16.55,3 years,Lead Mechanic,48000.0,Not Verified,home_improvement,NC,6.98,f,1625.84,0.0,INDIVIDUAL,0.0,123905.0,0.0
20000.0,36 months,13.18,8 years,President,84000.0,Not Verified,debt_consolidation,TN,25.81,w,0.0,0.0,INDIVIDUAL,0.0,405177.0,0.0
12000.0,36 months,10.99,2 years,Mammographer,55000.0,Verified,credit_card,GA,27.3,f,390.28,0.0,INDIVIDUAL,0.0,77893.0,0.0
25000.0,60 months,23.83,7 years,Union Bank,65000.0,Source Verified,credit_card,CA,12.42,f,11647.23,0.0,INDIVIDUAL,0.0,22459.0,1.0
5000.0,36 months,12.69,10+ years,Sales,77000.0,Verified,credit_card,VT,14.5,w,295.25,0.0,INDIVIDUAL,0.0,174517.0,0.0
17000.0,36 months,6.03,7 years,Network Administrator,88300.0,Verified,debt_consolidation,FL,11.05,f,1428.27,0.0,INDIVIDUAL,0.0,244772.0,0.0
28000.0,36 months,12.99,1 year,Executive Chef,62400.0,Verified,credit_card,MA,12.58,w,3763.35,0.0,INDIVIDUAL,0.0,23784.0,0.0
20000.0,36 months,14.65,10+ years,Call center supervisor,90000.0,Source Verified,debt_consolidation,NY,11.2,f,1133.19,0.0,INDIVIDUAL,0.0,28233.0,0.0
20000.0,36 months,11.67,,,103320.0,Source Verified,home_improvement,NY,15.17,w,2658.26,0.0,INDIVIDUAL,0.0,27435.0,0.0
12500.0,60 months,17.86,10+ years,Letter Carrier,75000.0,Verified,debt_consolidation,DE,12.14,w,1235.69,0.0,INDIVIDUAL,0.0,275755.0,0.0
4200.0,36 months,18.84,8 years,manager,43000.0,Not Verified,other,LA,24.37,f,478.95,0.0,INDIVIDUAL,405.0,142744.0,0.0
16100.0,60 months,19.99,5 years,Assistant Manager,35000.0,Source Verified,debt_consolidation,CA,30.86,f,1775.76,0.0,INDIVIDUAL,0.0,37237.0,0.0
15450.0,36 months,13.33,6 years,Electrician,33600.0,Verified,credit_card,CA,38.9,f,1106.41,0.0,INDIVIDUAL,0.0,15017.0,0.0
20000.0,60 months,14.33,1 year,MERCED COUNTY JAIL MINISTRY,87600.0,Source Verified,home_improvement,CA,18.08,f,7040.79,0.0,INDIVIDUAL,0.0,408391.0,0.0
23625.0,60 months,18.2,10+ years,Electrical Technition,70000.0,Verified,debt_consolidation,KS,31.8,f,687.84,0.0,INDIVIDUAL,0.0,106591.0,0.0
17000.0,60 months,23.4,10+ years,Supervisor,54000.0,Source Verified,debt_consolidation,NY,18.89,f,6163.79,24.16,INDIVIDUAL,0.0,35398.0,1.0
1500.0,36 months,14.64,2 years,Homeless Coordinator,40000.0,Source Verified,debt_consolidation,WA,15.54,w,0.0,0.0,INDIVIDUAL,0.0,24895.0,0.0
7950.0,36 months,10.38,2 years,Boston and North Shore Real Estate,50004.0,Verified,other,MA,23.88,f,330.23,29.9505747557,INDIVIDUAL,,,0.0
25000.0,60 months,9.99,10+ years,Owner/ Distributor,60000.0,Not Verified,credit_card,NC,29.91,w,602.41,0.0,INDIVIDUAL,0.0,68650.0,0.0
12000.0,36 months,10.99,10+ years,OPERATING RESOURCES SPECIALIST,52000.0,Not Verified,home_improvement,MA,12.83,w,972.18,0.0,INDIVIDUAL,6738.0,239603.0,0.0
17500.0,36 months,15.99,4 years,Manager,88000.0,Not Verified,debt_consolidation,VA,11.56,f,2242.53,0.0,INDIVIDUAL,0.0,605585.0,0.0
11000.0,36 months,7.89,2 years,Claims processor,33000.0,Source Verified,credit_card,VA,11.45,w,302.65,0.0,INDIVIDUAL,0.0,139788.0,0.0
35000.0,36 months,14.99,4 years,Senior Sales Executive,100000.0,Verified,home_improvement,AZ,10.29,f,4521.11,0.0,INDIVIDUAL,0.0,41237.0,0.0
25000.0,60 months,13.35,,,56000.0,Verified,credit_card,PA,28.44,w,4685.77,0.0,INDIVIDUAL,0.0,186934.0,0.0
6000.0,36 months,12.29,10+ years,inspector,75000.0,Not Verified,debt_consolidation,MN,16.7,w,338.91,0.0,INDIVIDUAL,0.0,78372.0,0.0
13200.0,60 months,19.99,< 1 year,Manager,26400.0,Source Verified,debt_consolidation,IL,28.18,w,1398.06,0.0,INDIVIDUAL,0.0,43807.0,0.0
20000.0,36 months,15.61,10+ years,Bus Operator (Revenue),70000.0,Verified,car,NY,29.64,f,2517.73,0.0,INDIVIDUAL,0.0,35449.0,0.0
15000.0,60 months,7.9,10+ years,St. Johns County School District,67000.0,Source Verified,debt_consolidation,FL,9.9,f,1411.94,0.0,INDIVIDUAL,0.0,245928.0,1.0
5950.0,36 months,18.25,3 years,Personal Assistant,30000.0,Source Verified,debt_consolidation,CA,15.48,f,1458.53,0.0,INDIVIDUAL,0.0,9943.0,0.0
16000.0,36 months,7.9,1 year,Armed Forces YMCA,55000.0,Not Verified,home_improvement,TX,15.61,w,1990.64,0.0,INDIVIDUAL,0.0,158699.0,0.0
15000.0,60 months,12.39,10+ years,Truck Driver,80000.0,Not Verified,debt_consolidation,AZ,13.49,w,1576.49,0.0,INDIVIDUAL,0.0,254138.0,0.0
35000.0,36 months,7.89,5 years,QA Auditor,180000.0,Source Verified,debt_consolidation,NC,21.95,w,0.0,0.0,INDIVIDUAL,0.0,261143.0,0.0
18000.0,60 months,8.19,8 years,Planner,70000.0,Verified,debt_consolidation,CA,19.58,w,1556.1,0.0,INDIVIDUAL,0.0,46625.0,0.0
28200.0,60 months,24.99,3 years,Attorney,108000.0,Source Verified,other,NM,16.78,f,25.46,0.0,INDIVIDUAL,69.0,220405.0,1.0
7000.0,36 months,10.99,5 years,Underwriting Assitant,70000.0,Verified,moving,NY,16.56,w,238.76,0.0,INDIVIDUAL,0.0,12172.0,0.0
13000.0,36 months,10.99,10+ years,Children's Social Worker,80000.0,Verified,debt_consolidation,CA,26.62,f,443.42,0.0,INDIVIDUAL,0.0,61294.0,0.0
23000.0,36 months,10.99,10+ years,Sr Network Analyst,50000.0,Source Verified,debt_consolidation,FL,20.95,w,1055.94,0.0,INDIVIDUAL,0.0,31225.0,0.0
4950.0,36 months,18.49,8 years,Business Support Supervisor,178000.0,Source Verified,small_business,TX,7.54,w,66.1,0.0,INDIVIDUAL,0.0,38746.0,0.0
7200.0,36 months,15.61,2 years,Sales Consultant,60000.0,Verified,debt_consolidation,AR,21.62,f,605.25,0.0,INDIVIDUAL,0.0,40749.0,0.0
17000.0,60 months,14.99,< 1 year,Business Account Executive,58000.0,Not Verified,debt_consolidation,UT,21.06,w,3262.65,0.0,INDIVIDUAL,0.0,301791.0,0.0
20000.0,60 months,19.19,10+ years,Hygienist,75000.0,Source Verified,credit_card,KY,19.12,w,1848.41,0.0,INDIVIDUAL,0.0,263725.0,0.0
5050.0,36 months,12.69,1 year,Physician,190000.0,Source Verified,other,IL,22.3,f,202.64,0.0,INDIVIDUAL,0.0,357941.0,0.0
35000.0,60 months,22.99,10+ years,Medical Service Officer,87040.0,Verified,debt_consolidation,TX,16.13,f,5717.54,0.0,INDIVIDUAL,574.0,212529.0,0.0
15000.0,60 months,15.99,4 years,Driver,85000.0,Source Verified,other,MA,10.38,w,2391.76,0.0,INDIVIDUAL,0.0,32825.0,0.0
10225.0,36 months,10.16,1 year,rbm,31200.0,Not Verified,debt_consolidation,TN,10.0,f,1621.36,0.0,INDIVIDUAL,0.0,111460.0,0.0
17950.0,36 months,9.99,3 years,Reimbursement Customer Service Rep,39000.0,Verified,debt_consolidation,MN,9.32,f,693.1,0.0,INDIVIDUAL,192.0,10163.0,0.0
28000.0,36 months,5.32,8 years,Police Officer,72000.0,Source Verified,credit_card,TX,16.1,w,292.48,0.0,INDIVIDUAL,0.0,381787.0,0.0
5700.0,60 months,19.42,3 years,Sunharbor Manor Skilled Nursing,50000.0,Verified,debt_consolidation,NY,8.9,f,2576.6,0.0,INDIVIDUAL,,,1.0
13000.0,36 months,6.62,2 years,Senior Analysst,130000.0,Not Verified,debt_consolidation,VA,23.37,f,1113.13,0.0,INDIVIDUAL,0.0,618061.0,0.0
24000.0,60 months,13.33,,,61000.0,Verified,debt_consolidation,KY,34.51,w,2735.7,0.0,INDIVIDUAL,0.0,58182.0,0.0
7200.0,36 months,11.99,< 1 year,Machinist,35000.0,Source Verified,debt_consolidation,OH,17.22,f,844.12,0.0,INDIVIDUAL,0.0,23744.0,0.0
19850.0,36 months,13.11,10+ years,U.S. Army,50000.0,Verified,debt_consolidation,AR,19.63,f,4284.67,0.0,INDIVIDUAL,168.0,105315.0,0.0
5000.0,36 months,9.99,10+ years,House Officer,70000.0,Source Verified,debt_consolidation,NY,20.58,w,154.94,0.0,INDIVIDUAL,0.0,31458.0,0.0
16850.0,36 months,10.99,10+ years,OFFICE MANAGER,44200.0,Not Verified,debt_consolidation,FL,20.93,w,992.36,0.0,INDIVIDUAL,0.0,14203.0,0.0
9750.0,36 months,13.11,10+ years,Mountain Side Trans,72000.0,Source Verified,debt_consolidation,NY,5.17,f,2150.42,0.0,INDIVIDUAL,,,1.0
13000.0,60 months,12.39,1 year,Personal Trainer,42000.0,Source Verified,credit_card,VA,10.49,w,1490.62,0.0,INDIVIDUAL,221.0,8328.0,0.0
7000.0,36 months,7.89,3 years,Senior EDI Programmer Analyst,75735.12,Source Verified,debt_consolidation,WA,17.7,w,405.09,0.0,INDIVIDUAL,0.0,24353.0,0.0
18000.0,60 months,9.17,10+ years,Division Chief,113000.0,Not Verified,debt_consolidation,NY,15.89,w,660.28,0.0,INDIVIDUAL,105.0,697738.0,0.0
25000.0,60 months,20.99,1 year,Senior Trader,130000.0,Source Verified,debt_consolidation,MA,7.43,w,1890.72,0.0,INDIVIDUAL,0.0,31254.0,1.0
10000.0,36 months,13.11,2 years,Northwest Asphalt,90000.0,Source Verified,credit_card,WA,12.49,w,1735.64,0.0,INDIVIDUAL,0.0,324254.0,0.0
21600.0,36 months,11.44,8 years,IT Business Consultant,95000.0,Verified,debt_consolidation,NC,25.24,w,1695.09,0.0,INDIVIDUAL,0.0,253332.0,1.0
30000.0,60 months,12.69,10+ years,owner,140000.0,Not Verified,debt_consolidation,TX,15.83,w,2695.7,0.0,INDIVIDUAL,0.0,66287.0,0.0
26125.0,60 months,13.98,< 1 year,RN Case Manager,57000.0,Source Verified,debt_consolidation,AR,23.85,w,4672.26,0.0,INDIVIDUAL,0.0,34248.0,0.0
7000.0,36 months,7.89,3 years,Manager,42640.0,Not Verified,debt_consolidation,CO,18.54,w,329.79,0.0,INDIVIDUAL,0.0,15736.0,0.0
8000.0,36 months,17.57,10+ years,Office Staff,33072.0,Verified,debt_consolidation,WV,32.47,f,1477.71,0.0,INDIVIDUAL,518.0,32296.0,0.0
20000.0,36 months,11.14,3 years,PNC Mortgage,65000.0,Verified,debt_consolidation,NY,11.58,w,3530.18,0.0,INDIVIDUAL,0.0,31773.0,0.0
16000.0,36 months,12.29,9 years,RN,97000.0,Not Verified,debt_consolidation,NJ,9.08,f,1441.65,0.0,INDIVIDUAL,0.0,491917.0,0.0
8000.0,36 months,16.78,< 1 year,Fred Matin Ford,68750.0,Not Verified,credit_card,OH,22.97,f,1898.48,0.0,INDIVIDUAL,0.0,127882.0,1.0
2750.0,36 months,16.99,5 years,driver,56000.0,Verified,medical,NY,21.62,f,113.72,0.0,INDIVIDUAL,0.0,27519.0,0.0
11625.0,36 months,16.55,10+ years,mech,58000.0,Verified,other,MI,20.46,f,1303.27,0.0,INDIVIDUAL,0.0,128115.0,0.0
12950.0,36 months,17.57,10+ years,Director of Coal Development,166000.0,Verified,home_improvement,KY,16.27,w,1400.44,0.0,INDIVIDUAL,0.0,336159.0,0.0
23950.0,60 months,18.25,10+ years,Account Manager,110000.0,Source Verified,debt_consolidation,AZ,11.96,f,6796.16,0.0,INDIVIDUAL,0.0,303569.0,0.0
19675.0,60 months,9.17,10+ years,RN,74000.0,Not Verified,credit_card,NC,22.2,w,851.98,0.0,INDIVIDUAL,0.0,137534.0,0.0
35000.0,36 months,14.31,,,104000.0,Verified,debt_consolidation,NY,17.13,w,4635.84,0.0,INDIVIDUAL,0.0,132687.0,0.0
17045.5613566,36 months,18.78,3 years,Astir IT Solutions Inc,80000.0,Not Verified,wedding,VA,15.6,f,5769.41,0.0,INDIVIDUAL,,,1.0
5275.0,36 months,10.99,4 years,Student Personnel Tech,36000.0,Not Verified,credit_card,CA,18.53,w,712.63,0.0,INDIVIDUAL,0.0,57534.0,0.0
15000.0,36 months,13.49,4 years,"Yahoo!, Inc.",75000.0,Verified,debt_consolidation,CA,8.75,f,2886.33,0.0,INDIVIDUAL,,,1.0
8000.0,36 months,18.85,1 year,Garlands lodge,30000.0,Verified,moving,AZ,22.4,w,2357.44,0.0,INDIVIDUAL,0.0,29284.0,1.0
35000.0,60 months,21.99,10+ years,Enlisted Service Member,90000.0,Verified,credit_card,HI,17.14,f,10013.94,0.0,INDIVIDUAL,0.0,49328.0,0.0
15000.0,36 months,15.61,10+ years,Budget Analyst,78402.16,Verified,debt_consolidation,CA,24.6,f,938.72,0.0,INDIVIDUAL,141.0,43998.0,0.0
12000.0,36 months,8.18,10+ years,machine operator,45000.0,Not Verified,debt_consolidation,OH,20.59,f,591.82,0.0,INDIVIDUAL,0.0,18955.0,0.0
7000.0,36 months,6.03,,,33000.0,Verified,debt_consolidation,MA,6.55,f,120.19,0.0,INDIVIDUAL,0.0,4161.0,1.0
19200.0,36 months,10.64,4 years,US BANK,50000.0,Verified,debt_consolidation,OH,24.84,f,2633.47,0.0,INDIVIDUAL,0.0,44318.0,1.0
9725.0,36 months,12.99,2 years,Store manager,30000.0,Not Verified,debt_consolidation,MD,20.2,f,1887.02,0.0,INDIVIDUAL,0.0,9687.0,0.0
12000.0,60 months,14.49,10+ years,PE Teacher/Coach,57000.0,Verified,debt_consolidation,TX,26.59,w,2337.28,0.0,INDIVIDUAL,0.0,217361.0,1.0
20000.0,60 months,13.33,10+ years,Director of Human Resources,125000.0,Verified,debt_consolidation,FL,19.77,w,628.98,0.0,INDIVIDUAL,0.0,51448.0,0.0
30000.0,36 months,10.15,5 years,Manager,150000.0,Source Verified,debt_consolidation,TX,7.71,f,3129.17,0.0,INDIVIDUAL,5674.0,15567.0,0.0
11950.0,60 months,21.67,2 years,Material Management,29900.0,Verified,debt_consolidation,WI,15.42,f,1936.71,0.0,INDIVIDUAL,0.0,11346.0,0.0
10000.0,36 months,6.03,< 1 year,System Analyst,45000.0,Verified,credit_card,AR,3.61,w,507.53,0.0,INDIVIDUAL,0.0,76398.0,0.0
12000.0,36 months,18.49,10+ years,Meritor,106000.0,Source Verified,debt_consolidation,MI,20.51,f,1945.46,0.0,INDIVIDUAL,0.0,41374.0,1.0
